gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	unknown	monocyte	CD8T	CD4T	cDCs+pDCs	B	NK	plasma	proliferating_lympho	erythrocyte	platelets
LGALS9	O00182	False	LEG9_HUMAN		CPI-SS0E23CEB91	-0.311	1.192	-0.295	-0.249	1.409	-0.032	-0.128	-0.235	0.095	-0.253	0.2
LTA	P01374	False	TNFB_HUMAN		CPI-SS03156A825	-0.181	-0.22	0.003	0.179	-0.263	-0.001	0.082	-0.242	-0.061	-0.263	-0.218
NRG1	Q02297	False	NRG1_HUMAN		CPI-SS0978D28AB	-0.117	0.652	-0.13	-0.123	0.085	-0.126	-0.126	-0.096	-0.106	-0.13	-0.13
IFNG	P01579	False	IFNG_HUMAN		CPI-SC09E5431A2	0.017	-0.122	0.532	-0.081	-0.134	-0.122	0.831	-0.146	0.507	-0.146	-0.09
ANXA1	P04083	False	ANXA1_HUMAN		CPI-SS0F739D3DB	-0.376	1.023	0.487	0.091	0.88	-0.779	0.507	-0.765	0.445	-0.647	0.131
ALOX5	P09917	False	LOX5_HUMAN		CPI-SS080611C5B	-0.195	0.678	-0.214	-0.189	0.301	0.386	-0.204	-0.179	-0.214	-0.224	-0.224
PECAM1	P16284	False	PECA1_HUMAN		CPI-SS0E0DEA7D5	-0.175	0.882	-0.135	-0.192	0.012	-0.164	-0.169	-0.098	-0.04	-0.169	0.55
LTBR	P36941	False	TNR3_HUMAN		CPI-SS06CBC985C	-0.15	1.052	-0.158	-0.155	0.646	-0.151	-0.137	-0.114	-0.141	-0.167	-0.022
IFNGR1	P15260	True	INGR1_HUMAN	Type II IFNR	CPI-SC09E5431A2	-0.413	0.842	-0.461	-0.209	0.249	-0.037	-0.465	-0.308	-0.45	-0.472	-0.299
IFNGR2	P38484	True	INGR2_HUMAN	Type II IFNR	CPI-SC09E5431A2	-0.413	0.842	-0.461	-0.209	0.249	-0.037	-0.465	-0.308	-0.45	-0.472	-0.299
ITGB2	P05107	True	ITB2_HUMAN	aMb2 complex	CPI-SC0B6D68FD5	-0.231	0.799	0.008	-0.254	-0.098	-0.405	0.096	-0.635	0.021	-0.619	-0.444
ITGB2	P05107	True	ITB2_HUMAN	aXb2 complex	CPI-SC0A9458008	-0.231	1.016	-0.149	-0.321	0.738	-0.405	0.465	-0.635	0.027	-0.619	-0.444
ITGAM	P11215	True	ITAM_HUMAN	aMb2 complex	CPI-SC0B6D68FD5	-0.231	0.799	0.008	-0.254	-0.098	-0.405	0.096	-0.635	0.021	-0.619	-0.444
ITGAX	P20702	True	ITAX_HUMAN	aXb2 complex	CPI-SC0A9458008	-0.231	1.016	-0.149	-0.321	0.738	-0.405	0.465	-0.635	0.027	-0.619	-0.444
NRG1	Q02297	False	NRG1_HUMAN		CPI-SS076BC3BA6	-0.117	0.652	-0.13	-0.123	0.085	-0.126	-0.126	-0.096	-0.106	-0.13	-0.13
GRN	P28799	False	GRN_HUMAN		CPI-SS0DA033F03	-0.298	2.029	-0.345	-0.362	1.147	-0.27	-0.342	-0.081	-0.28	-0.137	-0.176
GRN	P28799	False	GRN_HUMAN		CPI-SS0C4E86714	-0.298	2.029	-0.345	-0.362	1.147	-0.27	-0.342	-0.081	-0.28	-0.137	-0.176
TNFSF13B	Q9Y275	False	TN13B_HUMAN		CPI-SS05D23BCE8	-0.223	1.546	-0.265	-0.238	1.126	-0.241	-0.262	-0.213	-0.255	-0.209	-0.002
APP	P05067	False	A4_HUMAN		CPI-SS09808DEAE	-0.119	0.282	-0.159	-0.018	0.744	0.024	-0.153	0.032	-0.124	-0.172	0.703
VSIR	Q9H7M9	False	GI24_HUMAN		CPI-SS0A42A3690	-0.296	1.35	-0.154	-0.124	0.638	-0.348	-0.14	-0.066	-0.001	-0.401	-0.099
VSIR	Q9H7M9	False	GI24_HUMAN		CPI-SS03FA58286	-0.296	1.35	-0.154	-0.124	0.638	-0.348	-0.14	-0.066	-0.001	-0.401	-0.099
LILRB2	Q8N423	False	LIRB2_HUMAN		CPI-SS0EAB03260	-0.216	1.505	-0.244	-0.242	0.195	-0.219	-0.244	-0.191	-0.228	-0.176	-0.102
SORT1	Q99523	False	SORT_HUMAN		CPI-SS07CCAD9BF	-0.108	0.647	-0.105	-0.109	0.33	-0.109	-0.105	0.014	-0.08	-0.114	0.269
TNFRSF1A	P19438	False	TNR1A_HUMAN		CPI-SS04B4619D0	-0.164	0.689	-0.04	-0.201	0.551	-0.276	0.088	-0.288	0.114	-0.224	0.164
TNFRSF1A	P19438	False	TNR1A_HUMAN		CPI-SS084BE3E4B	-0.164	0.689	-0.04	-0.201	0.551	-0.276	0.088	-0.288	0.114	-0.224	0.164
TNFRSF1B	P20333	False	TNR1B_HUMAN		CPI-SS0E7D5974D	0.004	0.935	-0.034	-0.181	0.101	-0.208	0.075	-0.163	0.245	-0.218	-0.3
TNFRSF1B	P20333	False	TNR1B_HUMAN		CPI-SS07D9A48A2	0.004	0.935	-0.034	-0.181	0.101	-0.208	0.075	-0.163	0.245	-0.218	-0.3
CCR1	P32246	False	CCR1_HUMAN		CPI-SS08DA48A5A	-0.178	0.885	-0.157	-0.178	0.386	-0.181	-0.138	-0.174	-0.087	-0.19	-0.19
CCR1	P32246	False	CCR1_HUMAN		CPI-SS0A021DB6E	-0.178	0.885	-0.157	-0.178	0.386	-0.181	-0.138	-0.174	-0.087	-0.19	-0.19
CCR1	P32246	False	CCR1_HUMAN		CPI-SS0817CE2B3	-0.178	0.885	-0.157	-0.178	0.386	-0.181	-0.138	-0.174	-0.087	-0.19	-0.19
LRP1	Q07954	False	LRP1_HUMAN		CPI-SS0419B80C4	-0.193	1.306	-0.222	-0.223	-0.015	-0.221	-0.218	-0.202	-0.218	-0.238	-0.149
HAVCR2	Q8TDQ0	False	HAVR2_HUMAN		CPI-SS0E23CEB91	-0.039	0.257	-0.088	-0.16	0.706	-0.174	0.543	-0.131	0.503	-0.19	-0.19
LTBR	P36941	False	TNR3_HUMAN		CPI-SS03156A825	-0.15	1.052	-0.158	-0.155	0.646	-0.151	-0.137	-0.114	-0.141	-0.167	-0.022
MS4A4A	Q96JQ5	False	M4A4A_HUMAN		CPI-SS0978D28AB	-0.154	1.016	-0.185	-0.19	0.667	-0.191	-0.183	-0.194	-0.201	-0.21	-0.134
FPR1	P21462	False	FPR1_HUMAN		CPI-SS0F739D3DB	-0.193	1.468	-0.249	-0.246	0.103	-0.257	-0.255	-0.222	-0.263	-0.166	-0.242
ALOX5AP	P20292	False	AL5AP_HUMAN		CPI-SS080611C5B	-0.473	-0.138	0.401	0.048	0.421	-0.003	0.599	-0.546	0.593	-0.544	-0.34
CD38	P28907	False	CD38_HUMAN		CPI-SS0E0DEA7D5	-0.043	-0.095	-0.044	-0.14	0.049	-0.025	0.684	3.744	0.814	-0.108	0.05
LTB	Q06643	False	TNFC_HUMAN		CPI-SS06CBC985C	-0.395	-0.701	-0.544	0.741	-0.658	0.409	-0.707	-0.801	-0.541	-0.684	-0.574
